DEPTH,GR,RHGX_HILT,NPHI,AT10,AT20,AT30,AT60,AT90,PEFZ
3424.8853,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.4670565
3424.733,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.4812675
3424.5803,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.4991426
3424.428,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.500184
3424.2756,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.5002434
3424.1233,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.5002477
3423.9707,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.500248
3423.8184,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.5002477
3423.666,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.5002477
3423.5137,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.500248
3423.3613,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.501893
3423.2087,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.6280289
3423.0564,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.7577124
3422.904,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.7666483
3422.7517,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.868504
3422.599,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.8463144
3422.4468,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.8772829
3422.2944,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.7943242
3422.142,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.78796
3421.9895,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.8042805
3421.8372,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.5626345
3421.6848,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.5490427
3421.5325,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.6581945
3421.3801,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.6897745
3421.2275,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.7579727
3421.0752,219.44487,4.35368,0.0912676,6.2404666,1950.0,103.048584,460.34418,220.08145,3.4243479
3420.9229,219.44487,4.35368,0.0912676,6.240474,1950.0,103.094826,462.63342,221.17014,3.4540896
3420.7705,219.44487,4.35368,0.0912676,6.240431,1950.0,103.25437,468.81238,226.32286,3.477869
