# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-04-23
#
# GRDC-No.:              3651806
# River:                 RIO SAO FRANCISCO
# Station:               BOM JESUS DA LAPA
# Country:               BR
# Latitude (DD):       -13.25694
# Longitude (DD):      -43.43917
# Catchment area (km²):      271000.0
# Altitude (m ASL):        420.0
# Next downstream station:      3651807
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 2020-02
# No. of years:          81
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 29280
# DATA
YYYY-MM-DD;hh:mm; Value
1940-01-01;--:--;   2623.453
1940-01-02;--:--;   2953.344
1940-01-03;--:--;   3118.924
1940-01-04;--:--;   3072.600
1940-01-05;--:--;   2835.818
1940-01-06;--:--;   2623.453
1940-01-07;--:--;   2528.145
1940-01-08;--:--;   2519.544
1940-01-09;--:--;   2434.128
1940-01-10;--:--;   2349.790
1940-01-11;--:--;   2341.416
1940-01-12;--:--;   2400.263
1940-01-13;--:--;   2324.700
1940-01-14;--:--;   2400.263
1940-01-15;--:--;   2519.544
1940-01-16;--:--;   2528.145
1940-01-17;--:--;   2417.174
1940-01-18;--:--;   2333.053
1940-01-19;--:--;   2159.961
1940-01-20;--:--;   1952.475
1940-01-21;--:--;   1782.946
1940-01-22;--:--;   1670.605
1940-01-23;--:--;   1633.753
1940-01-24;--:--;   1843.943
1940-01-25;--:--;   2349.790
1940-01-26;--:--;   3091.099
1940-01-27;--:--;   3344.769
1940-01-28;--:--;   3306.730
1940-01-29;--:--;   3853.510
1940-01-30;--:--;   4231.229
1940-01-31;--:--;   4231.229
1940-02-01;--:--;   4345.988
1940-02-02;--:--;   4451.282
1940-02-03;--:--;   4493.656
1940-02-04;--:--;   4366.973
1940-02-05;--:--;   4210.484
1940-02-06;--:--;   4158.784
1940-02-07;--:--;   4138.170
1940-02-08;--:--;   4076.550
1940-02-09;--:--;   4015.268
1940-02-10;--:--;   4066.313
1940-02-11;--:--;   4210.484
1940-02-12;--:--;   4451.282
1940-02-13;--:--;   4451.282
1940-02-14;--:--;   4461.861
1940-02-15;--:--;   4504.272
1940-02-16;--:--;   4589.531
1940-02-17;--:--;   4504.272
1940-02-18;--:--;   4210.484
1940-02-19;--:--;   3923.981
1940-02-20;--:--;   3704.073
1940-02-21;--:--;   3479.150
1940-02-22;--:--;   3306.730
1940-02-23;--:--;   3278.304
1940-02-24;--:--;   3287.770
1940-02-25;--:--;   3268.849
1940-02-26;--:--;   3354.304
1940-02-27;--:--;   3547.061
1940-02-28;--:--;   3773.542
1940-02-29;--:--;   3954.325
1940-03-01;--:--;   4269.000
1940-03-02;--:--;   4144.000
1940-03-03;--:--;   3945.000
1940-03-04;--:--;   3744.000
1940-03-05;--:--;   3440.000
1940-03-06;--:--;   3360.000
1940-03-07;--:--;   3521.000
1940-03-08;--:--;   3754.000
1940-03-09;--:--;   3850.000
1940-03-10;--:--;   4019.000
1940-03-11;--:--;   4190.000
1940-03-12;--:--;   4349.000
1940-03-13;--:--;   4543.000
1940-03-14;--:--;   4760.000
1940-03-15;--:--;   5113.000
1940-03-16;--:--;   5530.000
1940-03-17;--:--;   5906.000
1940-03-18;--:--;   6110.000
1940-03-19;--:--;   6194.000
1940-03-20;--:--;   6242.000
1940-03-21;--:--;   6278.000
1940-03-22;--:--;   6302.000
1940-03-23;--:--;   6230.000
1940-03-24;--:--;   6038.000
1940-03-25;--:--;   5599.000
1940-03-26;--:--;   5193.000
1940-03-27;--:--;   4714.000
1940-03-28;--:--;   4281.000
1940-03-29;--:--;   4395.000
1940-03-30;--:--;   4623.000
1940-03-31;--:--;   4247.000
1940-04-01;--:--;   2720.039
1940-04-02;--:--;   2519.544
1940-04-03;--:--;   2341.416
1940-04-04;--:--;   2208.919
1940-04-05;--:--;   2103.350
1940-04-06;--:--;   2015.503
1940-04-07;--:--;   1944.648
1940-04-08;--:--;   1851.620
1940-04-09;--:--;   1805.732
1940-04-10;--:--;   1715.222
1940-04-11;--:--;   1663.211
1940-04-12;--:--;   1619.096
1940-04-13;--:--;   1589.927
1940-04-14;--:--;   1582.665
1940-04-15;--:--;   1589.927
1940-04-16;--:--;   1546.537
1940-04-17;--:--;   1496.470
1940-04-18;--:--;   1454.035
1940-04-19;--:--;   1398.151
1940-04-20;--:--;   1370.508
1940-04-21;--:--;   1336.240
1940-04-22;--:--;   1370.508
1940-04-23;--:--;   1454.035
1940-04-24;--:--;   1482.276
1940-04-25;--:--;   1419.014
1940-04-26;--:--;   1329.424
1940-04-27;--:--;   1268.655
1940-04-28;--:--;   1222.111
1940-04-29;--:--;   1176.204
1940-04-30;--:--;   1143.806
1940-05-01;--:--;   1192.000
1940-05-02;--:--;   1186.000
1940-05-03;--:--;   1186.000
1940-05-04;--:--;   1258.000
1940-05-05;--:--;   1317.000
1940-05-06;--:--;   1310.000
1940-05-07;--:--;   1251.000
1940-05-08;--:--;   1225.000
1940-05-09;--:--;   1199.000
1940-05-10;--:--;   1212.000
1940-05-11;--:--;   1199.000
1940-05-12;--:--;   1186.000
1940-05-13;--:--;   1173.000
1940-05-14;--:--;   1133.000
1940-05-15;--:--;   1087.000
1940-05-16;--:--;   1054.000
1940-05-17;--:--;   1028.000
1940-05-18;--:--;    997.000
1940-05-19;--:--;    991.000
1940-05-20;--:--;    980.000
1940-05-21;--:--;    969.000
1940-05-22;--:--;    975.000
1940-05-23;--:--;    986.000
1940-05-24;--:--;   1009.000
1940-05-25;--:--;   1028.000
1940-05-26;--:--;   1022.000
1940-05-27;--:--;   1002.000
1940-05-28;--:--;    975.000
1940-05-29;--:--;    958.000
1940-05-30;--:--;    931.000
1940-05-31;--:--;    910.000
1940-06-01;--:--;    809.874
1940-06-02;--:--;    798.534
1940-06-03;--:--;    781.633
1940-06-04;--:--;    770.439
1940-06-05;--:--;    759.304
1940-06-06;--:--;    748.228
1940-06-07;--:--;    742.712
1940-06-08;--:--;    731.726
1940-06-09;--:--;    726.255
1940-06-10;--:--;    720.799
1940-06-11;--:--;    720.799
1940-06-12;--:--;    709.932
1940-06-13;--:--;    704.521
1940-06-14;--:--;    693.745
1940-06-15;--:--;    683.029
1940-06-16;--:--;    677.694
1940-06-17;--:--;    672.375
1940-06-18;--:--;    667.070
1940-06-19;--:--;    656.507
1940-06-20;--:--;    646.006
1940-06-21;--:--;    646.006
1940-06-22;--:--;    630.370
1940-06-23;--:--;    630.370
1940-06-24;--:--;    625.189
1940-06-25;--:--;    620.023
1940-06-26;--:--;    614.874
1940-06-27;--:--;    609.740
1940-06-28;--:--;    604.621
1940-06-29;--:--;    599.518
1940-06-30;--:--;    594.432
1940-07-01;--:--;    584.305
1940-07-02;--:--;    574.242
1940-07-03;--:--;    569.235
1940-07-04;--:--;    569.235
1940-07-05;--:--;    559.268
1940-07-06;--:--;    554.309
1940-07-07;--:--;    549.365
1940-07-08;--:--;    544.438
1940-07-09;--:--;    539.527
1940-07-10;--:--;    534.633
1940-07-11;--:--;    524.892
1940-07-12;--:--;    524.892
1940-07-13;--:--;    520.046
1940-07-14;--:--;    520.046
1940-07-15;--:--;    515.217
1940-07-16;--:--;    515.217
1940-07-17;--:--;    510.404
1940-07-18;--:--;    505.608
1940-07-19;--:--;    496.064
1940-07-20;--:--;    486.587
1940-07-21;--:--;    491.318
1940-07-22;--:--;    486.587
1940-07-23;--:--;    486.587
1940-07-24;--:--;    481.874
1940-07-25;--:--;    472.497
1940-07-26;--:--;    472.497
1940-07-27;--:--;    463.188
1940-07-28;--:--;    458.559
1940-07-29;--:--;    458.559
1940-07-30;--:--;    453.946
1940-07-31;--:--;    449.351
1940-08-01;--:--;    358.000
1940-08-02;--:--;    354.000
1940-08-03;--:--;    350.000
1940-08-04;--:--;    345.000
1940-08-05;--:--;    341.000
1940-08-06;--:--;    337.000
1940-08-07;--:--;    333.000
1940-08-08;--:--;    324.000
1940-08-09;--:--;    324.000
1940-08-10;--:--;    320.000
1940-08-11;--:--;    316.000
1940-08-12;--:--;    312.000
1940-08-13;--:--;    312.000
1940-08-14;--:--;    308.000
1940-08-15;--:--;    304.000
1940-08-16;--:--;    304.000
1940-08-17;--:--;    300.000
1940-08-18;--:--;    296.000
1940-08-19;--:--;    291.000
1940-08-20;--:--;    291.000
1940-08-21;--:--;    291.000
1940-08-22;--:--;    283.000
1940-08-23;--:--;    283.000
1940-08-24;--:--;    279.000
1940-08-25;--:--;    275.000
1940-08-26;--:--;    275.000
1940-08-27;--:--;   -999.000
1940-08-28;--:--;   -999.000
1940-08-29;--:--;   -999.000
1940-08-30;--:--;   -999.000
1940-08-31;--:--;   -999.000
1940-09-01;--:--;    315.608
1940-09-02;--:--;    311.585
1940-09-03;--:--;    307.580
1940-09-04;--:--;    303.594
1940-09-05;--:--;    303.594
1940-09-06;--:--;    299.627
1940-09-07;--:--;    295.680
1940-09-08;--:--;    291.751
1940-09-09;--:--;    287.841
1940-09-10;--:--;    287.841
1940-09-11;--:--;    283.951
1940-09-12;--:--;    280.080
1940-09-13;--:--;    280.080
1940-09-14;--:--;    287.841
1940-09-15;--:--;    280.080
1940-09-16;--:--;    280.080
1940-09-17;--:--;    276.229
1940-09-18;--:--;    276.229
1940-09-19;--:--;    276.229
1940-09-20;--:--;    276.229
1940-09-21;--:--;    280.080
1940-09-22;--:--;    280.080
1940-09-23;--:--;    276.229
1940-09-24;--:--;    272.397
1940-09-25;--:--;    280.080
1940-09-26;--:--;    283.951
1940-09-27;--:--;    287.841
1940-09-28;--:--;    299.627
1940-09-29;--:--;    307.580
1940-09-30;--:--;    344.295
1940-10-01;--:--;   -999.000
1940-10-02;--:--;    275.000
1940-10-03;--:--;    341.000
1940-10-04;--:--;    400.000
1940-10-05;--:--;    409.000
1940-10-06;--:--;    400.000
1940-10-07;--:--;    383.000
1940-10-08;--:--;    366.000
1940-10-09;--:--;    345.000
1940-10-10;--:--;    324.000
1940-10-11;--:--;    291.000
1940-10-12;--:--;   -999.000
1940-10-13;--:--;   -999.000
1940-10-14;--:--;   -999.000
1940-10-15;--:--;   -999.000
1940-10-16;--:--;   -999.000
1940-10-17;--:--;   -999.000
1940-10-18;--:--;   -999.000
1940-10-19;--:--;   -999.000
1940-10-20;--:--;   -999.000
1940-10-21;--:--;   -999.000
1940-10-22;--:--;   -999.000
1940-10-23;--:--;   -999.000
1940-10-24;--:--;    308.000
1940-10-25;--:--;    316.000
1940-10-26;--:--;    308.000
1940-10-27;--:--;    287.000
1940-10-28;--:--;   -999.000
1940-10-29;--:--;   -999.000
1940-10-30;--:--;    275.000
1940-10-31;--:--;    324.000
1940-11-01;--:--;    375.000
1940-11-02;--:--;    555.000
1940-11-03;--:--;    734.000
1940-11-04;--:--;    999.000
1940-11-05;--:--;   1230.000
1940-11-06;--:--;   1503.000
1940-11-07;--:--;   1510.000
1940-11-08;--:--;   1323.000
1940-11-09;--:--;   1188.000
1940-11-10;--:--;   1090.000
1940-11-11;--:--;   1051.000
1940-11-12;--:--;   1038.000
1940-11-13;--:--;   1038.000
1940-11-14;--:--;   1064.000
1940-11-15;--:--;   1216.000
1940-11-16;--:--;   1712.000
1940-11-17;--:--;   1849.000
1940-11-18;--:--;   2074.000
1940-11-19;--:--;   2590.000
1940-11-20;--:--;   3210.000
1940-11-21;--:--;   3620.000
1940-11-22;--:--;   4080.000
1940-11-23;--:--;   4392.000
1940-11-24;--:--;   4524.000
1940-11-25;--:--;   4512.000
1940-11-26;--:--;   4464.000
1940-11-27;--:--;   4248.000
1940-11-28;--:--;   3960.000
1940-11-29;--:--;   3719.000
1940-11-30;--:--;   3576.000
1940-12-01;--:--;   3565.000
1940-12-02;--:--;   3532.000
1940-12-03;--:--;   3730.000
1940-12-04;--:--;   3876.000
1940-12-05;--:--;   3888.000
1940-12-06;--:--;   3818.000
1940-12-07;--:--;   3664.000
1940-12-08;--:--;   3532.000
1940-12-09;--:--;   3030.000
