MD,k,phi,GR,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5450.0,2.79,12.2,22.537579,918.8996,2.4771438,0.17886215,65.86409,4.3116,0.16371535,0.20000695,0.20041423
5453.0,43.1,16.2,34.25385,1396.3385,2.3623524,0.23711674,71.64694,4.5789976,0.12253237,0.13911816,0.14221005
5458.0,772.0,20.0,21.608595,1293.351,2.3658113,0.21804495,69.42828,4.9031014,0.15598087,0.1925248,0.1925411
5459.0,482.0,21.1,18.998669,741.41583,2.4806223,0.17817706,62.82063,4.384272,0.13488574,0.18105114,0.18105125
5460.8,96.7,16.8,19.865223,1417.8202,2.3680606,0.23345491,70.70588,5.0753846,0.13905054,0.1672807,0.16728969
5462.7,765.0,16.5,20.158842,105.34858,2.4386353,0.18199104,66.10057,4.6768184,0.14695016,0.17651567,0.17651737
5467.7,397.0,18.9,26.097311,25.35732,2.5203748,0.23255758,59.012432,4.046099,0.14655988,0.16852395,0.16852409
5469.0,63.1,20.8,20.862957,1193.364,2.3265996,0.24779029,73.66637,4.4775486,0.15628956,0.19850026,0.20228268
5472.5,27.8,15.3,21.317871,981.8295,2.3020349,0.22424999,75.24756,5.0503793,0.095107116,0.11673621,0.11673634
5478.0,947.0,20.8,23.203905,1306.5168,2.3849041,0.19155128,67.45384,4.552339,0.09042566,0.12317112,0.12317125
5479.2,224.0,18.0,19.655289,863.6781,2.3824656,0.21732418,68.7971,4.6633887,0.04015591,0.062144354,0.069021255
5496.8,31.3,16.0,22.025341,32.996643,2.51041,0.18530443,64.40336,4.546956,8.897867e-05,0.009790494,0.04527244
5574.0,47.3,21.2,28.000065,43.720943,2.4151788,0.12765123,62.15662,3.1640446,0.04649124,0.090655446,0.091028824
