MD,k,phi
5715.15,0.036,6.6
5715.45,0.516,8.1
5715.55,0.898,10.6
5715.95,0.011,5.6
5716.3,0.016,6.4
5716.5,0.0,5.0
5716.7,0.133,7.9
5717.0,0.541,9.5
5717.3,0.149,8.2
5717.55,14.9,16.1
5717.6,28.6,15.9
5717.8,0.072,7.9
5718.1,0.0,0.0
5718.4,0.0,0.0
5718.8,0.02,5.9
5719.1,0.138,8.7
5719.4,1.04,12.3
5719.45,0.114,15.8
5719.65,64.0,18.9
5719.95,27.9,17.3
5720.25,19.1,14.0
5720.3,4.91,15.4
5720.55,39.6,18.2
5720.85,0.258,9.9
5721.3,0.013,8.3
5721.35,1.16,11.0
5721.65,3.42,9.4
5721.95,0.025,6.5
5722.6,0.003,5.9
5722.7,0.329,5.5
5723.05,0.02,5.6
5723.35,0.69,10.1
5723.55,0.06,10.7
5723.65,0.393,12.0
5723.95,12.9,17.3
5724.3,66.4,16.9
5724.5,34.7,19.8
5724.6,44.5,17.4
5724.9,0.014,3.8
5725.25,0.038,5.8
5725.5,2.11,13.0
5725.6,0.079,14.4
5725.8,0.617,9.8
5726.55,0.001,5.2
5727.5,0.001,1.3
5727.6,0.055,3.4
5727.95,0.006,3.8
5728.4,0.136,7.7
5728.5,0.002,5.9
5728.7,0.055,3.7
5729.0,0.195,6.2
5729.3,2.89,10.3
5729.4,2.94,13.0
5729.6,15.2,16.4
5730.2,0.286,8.9
5730.25,0.0,3.6
5730.55,0.0,0.7
5730.85,5.26,11.7
5731.3,41.7,20.5
5731.35,16.3,20.0
5731.6,108.0,18.6
5731.9,27.9,17.6
5732.25,16.6,16.6
5732.4,12.6,18.6
5732.55,20.2,17.6
5732.8,49.1,17.8
5733.15,157.0,18.7
5733.4,21.8,15.4
5733.45,60.3,18.0
5733.8,33.4,16.2
5734.15,280.0,19.8
5734.45,25.3,15.0
5734.55,0.674,10.4
5734.75,448.0,14.8
5735.1,1490.0,15.4
5735.4,684.0,14.0
5735.6,548.0,15.1
5735.65,76.3,10.9
5736.05,1190.0,16.3
5736.3,112.0,12.7
5736.6,9.25,10.5
5736.65,87.8,14.2
5736.9,1590.0,16.4
5737.2,23.3,9.0
5737.45,2.28,8.1
5737.55,0.652,9.7
5737.8,3.75,10.9
5738.1,524.0,14.2
5738.5,193.0,13.1
5738.6,4530.0,17.6
5738.9,4.56,13.5
5739.2,35.0,13.6
5739.5,251.0,13.9
5739.6,529.0,15.3
5739.8,752.0,17.0
5740.15,65.4,16.7
5740.45,0.429,8.0
5740.75,3.17,9.4
5740.85,6.91,12.2
5741.0,21.2,12.0
5741.4,9.43,8.0
5741.8,9.48,11.1
5742.05,0.009,6.2
5742.15,0.181,5.8
5742.45,36.3,13.2
5743.05,0.626,7.2
5743.15,0.001,6.2
5743.35,49.7,14.6
5743.65,30.7,14.9
5744.0,79.3,15.6
5744.2,12.5,17.0
5744.3,602.0,17.2
5744.65,22.7,11.4
5744.95,0.764,11.4
5745.25,20.9,19.8
5745.35,21.7,21.9
5745.95,30.5,14.2
5746.25,46.9,16.2
5746.35,74.8,18.7
5746.55,75.8,14.2
5746.85,78.7,12.8
5747.2,405.0,15.2
5747.3,207.0,15.0
5747.55,348.0,17.5
5747.85,129.0,16.9
5748.15,671.0,16.2
5748.2,582.0,16.0
5748.5,405.0,15.1
5749.05,329.0,16.0
5749.1,6.9,11.3
5749.35,20.0,12.5
5749.65,294.0,16.9
5749.9,1290.0,16.8
5750.0,271.0,15.1
5750.2,13.1,16.4
5750.5,31.3,19.2
5750.8,18.6,15.8
5750.85,3.37,16.2
5751.1,0.004,3.3
5751.4,4.31,9.1
5751.7,94.5,16.1
5751.75,0.621,11.3
5752.0,8.64,13.9
5752.3,9.2,12.6
5752.55,4.18,13.9
5752.65,0.12,11.4
5753.2,1.37,8.3
5753.65,4.04,12.2
5753.9,0.754,12.7
5753.95,69.7,19.8
5754.25,4.2,14.5
5754.55,46.5,12.9
5754.9,43.3,15.5
5754.95,95.3,16.2
5755.2,5.13,13.3
5755.5,0.181,3.3
5755.8,0.214,6.2
5755.9,0.0,2.6
5756.15,0.0,1.3
5756.5,0.0,1.5
5756.85,0.001,2.9
5756.9,0.0,4.3
5757.1,0.002,4.2
5757.4,36.5,16.5
5757.7,8.17,12.1
5757.9,2.25,14.8
5758.0,201.0,15.4
5758.25,19.3,13.6
5758.75,3.97,13.1
5758.85,1.03,10.1
5759.05,0.0,2.7
5759.4,0.198,5.9
5759.7,0.0,2.6
5759.75,0.0,3.2
5760.0,0.001,3.8
5760.3,0.765,11.8
5760.65,0.0,1.5
5760.9,0.003,5.3
5761.15,0.003,4.4
5761.45,0.003,3.8
5761.55,0.0,2.5
5761.75,0.013,3.3
5762.05,0.821,11.6
5762.35,4.57,16.2
5762.45,0.001,7.7
5762.9,5.1,11.0
5763.55,1.05,11.9
5763.85,15.2,15.8
5764.15,59.2,14.3
5764.2,18.3,18.3
5764.4,15.3,17.3
5764.7,14.3,14.3
5765.0,19.8,17.1
5765.1,24.7,17.7
5765.35,76.9,19.5
5765.65,20.2,17.2
5765.9,107.0,14.3
5765.95,22.7,14.0
5766.2,28.9,14.5
5766.6,45.3,15.3
5766.85,259.0,6.9
5767.05,0.704,6.3
5767.1,0.004,6.0
5767.45,0.002,7.0
5767.75,0.014,4.6
5768.1,0.008,9.7
5768.15,0.018,10.1
5768.4,0.024,10.1
5768.95,0.013,10.0
5769.05,0.218,12.6
5769.45,0.903,13.4
5769.75,0.071,10.6
5770.0,0.025,12.4
5770.1,1.1,12.8
5770.4,15.0,19.6
5770.7,30.0,19.0
5771.05,18.1,17.9
5771.15,12.5,14.9
5771.35,69.0,15.1
5771.7,209.0,16.0
5771.95,1013.0,14.5
5772.0,9.55,16.1
5772.3,112.0,17.1
5772.55,93.1,19.6
5772.8,59.2,13.7
5772.9,0.007,10.7
5773.1,110.0,21.8
5773.45,38.0,23.5
5773.7,35.1,25.0
5773.8,26.1,23.9
5774.05,39.1,23.2
5774.35,34.4,24.8
5774.6,34.5,24.3
5774.7,2.53,18.6
5774.95,19.1,24.7
5775.25,8.45,21.8
5775.55,56.9,22.3
5775.6,15.2,20.2
5775.85,10.5,15.2
5776.15,2.29,13.0
5776.5,0.008,8.0
5776.75,1.39,12.2
5777.3,0.079,7.0
5777.9,0.053,12.1
5778.2,0.007,5.1
5778.3,0.002,2.9
5778.5,0.131,8.3
5778.8,0.081,12.5
5779.2,0.003,15.5
5779.3,4.78,20.6
5779.65,0.004,6.9
5780.0,0.619,10.0
5780.05,0.158,13.0
5780.25,0.334,11.5
5780.55,0.657,16.7
5780.85,1.88,12.6
5780.95,0.171,8.9
5781.15,31.8,17.3
5781.4,3.54,15.0
5781.75,1.32,14.4
5781.85,0.003,5.9
5782.15,0.24,11.0
5782.4,19.2,21.8
5782.65,1.95,14.5
5782.75,2.18,14.8
5782.95,8.17,19.9
5783.3,2.98,17.9
5783.6,9.02,17.7
5783.65,3.32,17.3
5783.85,3.72,16.2
5784.2,2.06,14.5
5784.45,2.58,14.2
5784.55,0.013,11.0
5784.75,0.052,10.1
5785.05,0.061,9.7
5785.6,0.102,7.9
5785.9,0.052,9.5
5786.0,0.513,8.7
5786.25,6.03,16.6
5786.6,17.0,19.4
5786.95,9.95,16.3
5787.0,5.83,16.4
5787.15,5.27,18.9
5787.45,5.9,15.8
5787.8,0.174,9.0
5787.85,0.003,6.9
5788.1,0.007,5.5
5788.45,0.013,11.5
5788.7,0.33,12.4
5788.95,9.04,17.5
5789.0,6.39,17.0
5789.3,0.715,13.1
5789.65,19.0,17.1
5789.75,0.034,8.4
5789.9,12.7,17.1
5790.4,34.4,13.2
5790.65,0.005,9.8
5790.75,1.18,10.7
5791.0,0.392,12.7
5791.3,0.251,8.9
5791.55,0.001,6.9
5791.65,0.053,6.5
5791.95,11.0,14.3
5792.25,5.71,13.3
5792.5,30.6,16.3
5792.55,31.8,17.0
5792.75,45.9,18.3
5793.05,9.6,15.3
5793.3,24.2,14.3
5793.35,6.39,14.9
5793.7,6.66,16.4
5794.0,4.39,15.5
5794.3,13.3,17.6
5794.35,22.5,18.1
5794.85,15.4,18.5
5795.15,19.8,19.1
5795.2,13.2,14.8
5795.4,10.3,17.6
5795.7,3.79,13.0
5795.75,6.73,13.7
