DEPTH,GR_EDTC,NPHI,AT10,AT20,AT30,AT60,AT90,RHOM,CMFF,TCMR,CMRP_3MS
6076.95,5.199635,-0.008119075,1316.5571,643.27106,1469.3257,1802.7915,1649.8376,3.015508,1.9502095e-05,3.0376005,5.3328684e-05
6077.712,5.472243,-0.0074917576,943.52423,520.44183,1950.0,1950.0,1950.0,2.9630759,0.005592641,1.6129438,0.009977444
6078.474,6.7260594,-0.0068400707,863.70984,484.42627,1950.0,1950.0,1950.0,2.95651,0.0034986895,3.343328,0.0035027363
6079.236,7.2663803,-0.0062277326,1021.9265,480.40323,1950.0,1950.0,1839.8096,2.9229906,1.9375135e-05,1.4221662,4.798731e-05
6079.998,5.647204,-0.0010364208,1177.7689,414.68045,1714.1367,1950.0,1665.5459,2.9052854,0.014024254,3.9259963,0.02383857
6080.7603,7.2767205,-0.0034309803,421.8452,214.0868,560.2894,1950.0,1464.9268,2.934383,0.021432735,3.683588,0.021939036
6081.522,6.6366506,-0.0035146186,1202.6678,460.1392,1446.7719,1950.0,1729.9138,2.9141152,0.01143597,6.629308,0.014303037
6082.284,6.4041557,-0.0033312116,440.93127,341.8469,815.4464,1280.9738,662.37305,2.9256148,0.0059487293,2.4597251,0.006445234
6083.046,4.8756833,-0.00344305,642.37427,595.95245,1395.0771,1950.0,1813.0303,2.9760945,0.0035822568,1.2225934,0.012221825
6083.808,6.5496364,-0.005151423,658.0029,589.3876,1594.6133,1885.9825,1699.7719,2.9870987,0.0040959227,2.9207115,0.013127705
6084.57,7.2487245,-0.004827361,377.47015,1038.4264,1191.0759,1352.6361,792.1614,3.02785,0.0026455873,1.2243358,0.012239248
6085.332,6.6968217,-0.0009803551,291.04367,667.8036,685.07733,1688.4442,1286.9575,2.9000568,0.008740684,3.2837565,0.025653346
6086.094,7.032936,-0.015480203,214.86183,369.72104,720.2463,1950.0,1036.5656,2.294853,0.011061864,3.523374,0.035210133
6086.856,7.555845,-0.011127782,132.4555,201.05495,522.2767,1950.0,1617.4316,2.2011292,0.0048914677,0.68165284,0.0055907653
6087.618,8.997004,-0.015424001,122.55425,261.63043,783.0198,1950.0,1950.0,2.3325338,0.004445908,2.55846,0.025566444
6088.38,7.189096,0.0005443082,284.98932,472.4814,1374.4542,1909.0382,1656.4042,2.2686446,0.014816558,3.2345135,0.017640399
6089.142,6.622509,-0.004892103,1079.1373,299.52853,517.0253,1051.1324,567.9241,2.978371,0.061670315,9.013157,0.061675712
