DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
5485.638,13.120711,1932.475,970.6666,444.03683,2.924115,0.022865314,50.923492,5.68013,0.049936246,0.39635846,0.396671
5485.7905,13.314984,1950.0,939.7556,445.81085,2.9258451,0.022605177,50.924683,5.683527,0.049936246,0.39635846,0.396671
5485.943,12.030705,1950.0,911.149,431.26428,2.924257,0.023538304,51.101196,5.7263384,0.049936246,0.39635846,0.396671
5486.095,12.029197,1950.0,683.0076,342.3437,2.9209135,0.025994638,51.304516,5.771926,0.049936246,0.39635846,0.396671
5486.2476,11.834923,1950.0,697.31464,388.3704,2.916199,0.022623826,52.082188,5.826449,0.049936246,0.39635846,0.396671
5486.4,11.608826,1950.0,1318.6744,584.94226,2.9182708,0.02459238,52.12641,5.8402085,0.049936246,0.39635846,0.396671
5486.5522,11.221112,1950.0,1414.4865,970.17487,2.9223986,0.027698267,52.103523,5.8401184,0.049936246,0.39635846,0.396671
5486.705,11.276108,1950.0,884.1593,720.96936,2.913876,0.036722075,52.237774,5.847671,0.049936246,0.39635846,0.396671
5486.8574,12.177312,1950.0,637.2651,654.9932,2.8927968,0.046722952,52.38495,5.7765594,0.049936246,0.39635846,0.396671
5487.01,14.389823,1950.0,462.45453,552.98004,2.851653,0.06422369,52.60318,5.6380835,0.049936246,0.39635846,0.396671
5487.162,19.944721,1950.0,377.89435,480.93716,2.7904148,0.090745315,52.051884,5.505579,0.049936246,0.39635846,0.396671
5487.3145,26.306612,1950.0,338.40482,444.3426,2.7305038,0.11383305,52.89369,5.489742,0.049936246,0.39635846,0.396671
5487.467,28.691437,1950.0,242.29543,303.78214,2.677962,0.12402122,56.161926,5.8399024,0.049936246,0.39635846,0.396671
5487.619,31.09315,1950.0,333.29684,441.5971,2.6272943,0.13515514,62.193428,6.592905,0.049936246,0.39635846,0.396671
5487.7715,33.28967,1950.0,452.53384,595.8852,2.5817053,0.17887773,73.86896,7.5159574,0.049951788,0.3964818,0.39679444
5487.924,39.91212,1950.0,473.3178,682.12225,2.5976238,0.2406434,77.03419,8.212218,0.049951788,0.3964818,0.39679444
5488.0767,45.37944,1950.0,480.33527,853.4149,2.6466258,0.24787965,76.6728,8.365656,0.39936522,2.9056816,3.543267
5488.229,44.995327,1626.7336,1249.2932,1912.3553,2.6877205,0.20496197,71.18141,8.157162,0.39936522,2.9056816,3.543267
5488.3813,37.375027,997.0074,341.9668,972.5277,2.657784,0.14492273,66.887665,7.664128,6.206664,9.464434,9.465058
5488.5337,25.310524,525.12616,192.0382,552.88477,2.5770555,0.1534326,66.5207,6.998789,10.987543,14.33378,14.334093
5488.686,18.344227,290.40408,76.45114,230.85739,2.4932854,0.18183278,67.17918,6.284525,10.987543,14.33378,14.334093
5488.8384,15.589806,183.01463,83.0151,96.22593,2.4272938,0.2092997,66.43719,5.7040086,13.824299,16.997194,16.997505
5488.9907,15.148575,128.32329,60.429356,64.34301,2.4106965,0.2145327,65.96722,5.3692293,13.421445,16.391493,16.508553
5489.143,14.718891,76.603134,43.963387,34.749203,2.4138787,0.210541,64.888306,5.2290707,11.741647,15.026656,15.541914
5489.2954,14.587625,72.992805,45.50603,34.080303,2.422581,0.21465361,64.87423,5.1843357,9.708187,13.4775,13.985578
5489.448,14.525195,90.42866,49.748604,35.283905,2.4326084,0.21210377,66.16992,5.191831,9.708187,13.4775,13.985578
5489.6006,13.677382,100.77961,54.955616,37.680767,2.4428587,0.21993564,65.05537,5.258921,8.843887,13.105,14.130937
5489.753,13.135052,111.705635,54.39903,35.85112,2.4637425,0.20595606,63.141594,5.414297,7.59091,11.881378,13.599115
5489.9053,11.803177,160.69101,46.573643,33.083767,2.491221,0.19244641,61.88159,5.6151567,6.085018,10.247597,11.715277
5490.0576,12.363098,237.6863,53.157455,36.87345,2.520314,0.17472269,60.727665,5.837349,4.190571,8.122474,9.914901
5490.21,14.418067,376.79572,75.48594,51.059975,2.5446885,0.1625787,61.2056,6.0840473,4.190571,8.122474,9.914901
5490.3623,17.289568,1045.6191,84.59839,64.15672,2.5853071,0.15059195,57.505108,6.5312805,2.5037198,5.9887056,9.839507
5490.5146,22.929323,1950.0,82.58171,78.95224,2.6352673,0.12796696,55.622047,7.148808,1.7144809,4.259064,11.017523
5490.667,31.51068,1950.0,67.7617,78.014435,2.6796465,0.09946703,55.01771,7.6386847,1.2876792,3.4095361,9.91734
