DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
5358.9937,43.9587,76.10261,37.83045,16.68783,2.4916816,0.19716501,66.492004,5.102749,0.119948044,0.15419844,0.1542166
5359.146,50.214672,44.97399,16.877588,9.727284,2.5031316,0.19426283,64.52555,5.110857,0.10840618,0.14481014,0.14481314
5359.2983,51.442577,97.68016,17.893017,9.559625,2.5113,0.18464597,64.18631,5.1364803,0.10840618,0.14481014,0.14481314
5359.4507,49.099472,123.43374,22.349895,11.119614,2.522695,0.15793908,64.22792,5.1681566,0.09856412,0.13440734,0.13441136
5359.603,48.58665,177.40233,32.09376,15.711706,2.5125995,0.14179327,64.37694,5.210169,0.09010427,0.12755102,0.12802601
5359.756,47.179462,732.70056,42.63473,10.578355,2.4945955,0.15083885,64.47246,5.2067733,0.08528352,0.12500529,0.12783943
5359.908,45.256382,1950.0,138.64285,15.383798,2.4717324,0.17879482,64.67947,5.2035065,0.0896824,0.13069184,0.13579571
5360.0605,37.607067,1016.6439,107.641785,15.770428,2.452744,0.20876488,64.75806,5.2018647,0.0896824,0.13069184,0.13579571
5360.213,31.19681,151.8272,47.891834,13.278432,2.4459581,0.21452646,65.92844,5.266283,0.10532723,0.1438679,0.15014456
5360.365,31.463968,69.59716,24.250814,8.864613,2.4399803,0.22201908,66.84493,5.4017467,0.12517737,0.16095556,0.16630225
5360.5176,34.28606,25.653625,12.709648,7.7762356,2.431244,0.22922581,67.698944,5.572214,0.14203443,0.17577405,0.17940925
5360.67,39.443638,35.219444,7.8051643,5.958832,2.4138987,0.23254225,68.01256,5.7276826,0.15168391,0.18146299,0.18502253
5360.8223,43.004246,71.38604,14.801126,11.661827,2.3973937,0.22738925,68.09431,5.8459044,0.15168391,0.18146299,0.18502253
5360.9746,41.64275,98.14758,19.15114,14.33595,2.4007628,0.22210206,68.0656,5.8694677,0.15406036,0.18106383,0.18927057
5361.1274,38.40825,1183.704,32.987976,28.286129,2.414442,0.21164617,68.07242,5.8275886,0.14964294,0.17818047,0.1893062
5361.28,35.221508,1950.0,56.551964,61.336452,2.4343216,0.20426473,68.067535,5.752245,0.14294574,0.17600857,0.1886721
5361.432,38.072285,607.05817,126.40638,387.55435,2.4445548,0.20012105,68.078026,5.7311316,0.1398045,0.17625824,0.18698175
5361.5845,43.456898,1017.6245,63.219753,140.10022,2.445516,0.20699207,68.12426,5.7654657,0.1398045,0.17625824,0.18698175
5361.737,44.280636,1738.8857,69.95771,235.77917,2.439474,0.21041246,68.16488,5.774694,0.14012197,0.17448743,0.18444413
5361.889,40.807583,1950.0,61.790207,149.51407,2.4303308,0.21022576,67.918274,5.782536,0.14220597,0.17459351,0.18289712
5362.0415,37.484997,1950.0,64.169106,128.34508,2.4191663,0.20741878,67.58071,5.7833347,0.14191788,0.17167725,0.17977747
5362.194,37.125713,1950.0,78.394844,98.16855,2.4126081,0.21200585,67.11635,5.8167877,0.14049652,0.17084827,0.18034516
5362.346,39.76044,1950.0,87.306366,71.16973,2.412171,0.2246723,66.517685,5.817049,0.14049652,0.17084827,0.18034516
5362.499,39.8779,1950.0,86.97809,57.09736,2.4140737,0.23330979,66.48226,5.790108,0.13852204,0.17130406,0.18210644
5362.6514,37.618572,1950.0,42.08479,30.80671,2.4128647,0.23375194,66.46131,5.770229,0.13862827,0.17580436,0.18768013
5362.8037,34.025757,1950.0,26.194134,22.244743,2.4029644,0.2267045,66.42841,5.809451,0.1420758,0.18215281,0.19634487
5362.956,30.195724,1950.0,47.448086,31.22235,2.3969007,0.22484703,66.41877,5.8436027,0.14684863,0.18844391,0.20455599
5363.1084,28.143,1950.0,68.84052,46.612362,2.3947833,0.22482558,66.413055,5.8751354,0.14684863,0.18844391,0.20455599
5363.2607,26.210371,1950.0,98.37563,69.85514,2.4058323,0.2218882,66.16357,5.8335013,0.14979284,0.18884909,0.20388879
5363.413,25.252287,1950.0,107.50405,102.58476,2.4186573,0.2205446,65.71726,5.800008,0.14608537,0.18300824,0.197439
5363.5654,23.346024,1950.0,68.69004,75.28001,2.4339843,0.21323988,65.71414,5.7497683,0.13934109,0.17514777,0.1918115
5363.7183,24.183126,1950.0,56.200333,77.51233,2.4453669,0.20716996,66.58822,5.686481,0.13178816,0.17235108,0.18751921
5363.8706,25.509705,1950.0,37.68742,101.36523,2.4475372,0.21270755,67.291176,5.618098,0.13178816,0.17235108,0.18751921
5364.023,27.977766,1950.0,61.33258,60.375744,2.4485831,0.21859471,67.933205,5.497717,0.13016672,0.17254275,0.18391958
5364.1753,30.031378,1950.0,57.232677,60.50327,2.4446125,0.22234084,68.09163,5.354233,0.13137615,0.17101285,0.18129455
5364.3276,34.306583,1950.0,38.690166,43.43057,2.4346576,0.21651857,68.039444,5.229608,0.13805637,0.17009617,0.17568329
5364.48,39.92456,1950.0,72.813225,88.85118,2.413962,0.21544273,68.04585,5.233103,0.14903724,0.17229217,0.17230348
5364.6323,44.235935,1950.0,88.73146,87.29996,2.3936074,0.22372845,68.02663,5.352084,0.14903724,0.17229217,0.17230348
5364.7847,49.346783,1950.0,105.14638,88.67224,2.3800807,0.22596349,68.01244,5.504306,0.1601525,0.1798347,0.17984292
5364.937,48.916183,1950.0,143.4675,140.5615,2.3805847,0.23324427,68.04239,5.561557,0.16621052,0.18725672,0.18731397
5365.09,50.83235,1950.0,174.21461,153.96707,2.3837807,0.2349001,67.71511,5.556172,0.16668715,0.18995358,0.1924499
5365.242,47.384068,1950.0,201.49515,178.68462,2.3945255,0.23297891,67.086334,5.49595,0.16021399,0.18771552,0.19284955
5365.3945,48.66923,1950.0,230.19101,168.95235,2.4008415,0.22446251,65.84038,5.4893966,0.16021399,0.18771552,0.19284955
