DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5417.6676,21.410461,18.331234,16.14478,15.038757,2.6217325,0.12225975,62.96756,4.949074,0.008995495,0.03013127,0.050488576
5417.7438,21.19814,15.944619,14.455164,13.604523,2.6223161,0.12180438,62.562557,4.973447,0.008995495,0.03013127,0.050488576
5417.82,20.987156,14.288423,13.194154,12.51031,2.6234303,0.121128686,62.562557,4.992749,0.012004092,0.037343375,0.05494181
5417.8962,20.760265,13.320366,12.416869,11.83197,2.6247983,0.12056069,62.2265,5.0128345,0.012004092,0.037343375,0.05494181
5417.9724,20.520035,12.952274,12.090529,11.554049,2.6258805,0.1203647,62.2265,5.0213346,0.012772694,0.026897546,0.0475614
5418.0486,20.307032,13.091995,12.151861,11.625576,2.6267726,0.12070257,62.159733,4.9957204,0.012772694,0.026897546,0.0475614
5418.1248,20.189135,13.621956,12.499791,11.955678,2.6276615,0.12163897,62.159733,4.923919,0.012166352,0.021178985,0.038312316
5418.201,20.214869,14.349369,12.971668,12.393331,2.629151,0.123136654,62.159733,4.8143005,0.012166352,0.021178985,0.038312316
5418.2772,20.3778,14.981609,13.337909,12.729173,2.6312184,0.124999516,62.437668,4.6938634,0.011894806,0.021881077,0.050015237
5418.3534,20.595747,15.303801,13.455524,12.83626,2.63376,0.12696514,62.437668,4.5932856,0.011894806,0.021881077,0.050015237
5418.4296,20.728363,15.254396,13.311916,12.703087,2.6363604,0.12869796,62.78241,4.535496,0.0129077025,0.027336605,0.05663135
5418.5058,20.697178,14.912415,12.985687,12.401442,2.6390865,0.12968408,62.78241,4.526588,0.0129077025,0.027336605,0.05663135
5418.582,20.519266,14.414359,12.578806,12.024226,2.6419775,0.12942612,62.64548,4.5584273,0.013441137,0.035606425,0.06788221
5418.6582,20.275724,13.882703,12.172717,11.64537,2.6454265,0.12778223,62.64548,4.6133814,0.013441137,0.035606425,0.06788221
