MD,k,phi,GR,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5231.1,117.0,13.5,17.943176,16.073359,2.1307137,0.29748738,67.663246,8.383753,0.137963,0.2107004,0.26331642
5231.2,185.0,18.7,18.042002,11.997,2.124417,0.31248146,67.29856,8.239479,0.13157554,0.2152714,0.2570833
5231.6,6.43,12.3,20.989471,8.388942,2.2032614,0.3097115,65.3142,7.8646865,0.09734003,0.22491722,0.23700601
5231.95,5.66,12.1,21.451315,20.509071,2.2735054,0.27638376,67.033295,7.9561973,0.079617634,0.18290368,0.18970136
5232.25,75.5,19.0,14.067339,57.115368,2.2201517,0.29649192,68.99725,8.469757,0.08530571,0.16150963,0.17077228
5233.25,8.64,9.2,10.970339,1250.365,2.4630184,0.19169734,60.0391,7.654491,0.10785491,0.18984571,0.20749265
5233.45,18.9,11.0,10.642811,1466.0995,2.5975533,0.16976152,59.637024,9.425592,0.108683206,0.17317042,0.18392745
5233.6,35.8,10.0,10.758861,1529.5422,2.606757,0.16402291,60.352818,9.440176,0.10868445,0.16379534,0.16911009
5233.95,31.4,12.5,10.421631,1873.5159,2.4310665,0.15379468,64.09893,5.229921,0.111233264,0.14313063,0.14500266
5234.3,257.0,19.4,9.46045,1954.8754,2.4835389,0.16759673,67.16728,3.8207767,0.10740593,0.14557105,0.15823191
5234.65,447.0,17.2,7.312141,1681.352,2.3090832,0.2733778,70.90436,3.7173684,0.14701562,0.1784298,0.17928748
5234.75,8.56,13.3,7.052657,1600.0181,2.2942874,0.2695395,71.33506,3.720033,0.15972728,0.19069201,0.19082294
5234.95,213.0,16.6,7.448301,1371.6461,2.3163812,0.23470792,70.70933,3.6111479,0.18045843,0.21292767,0.2129839
5235.35,499.0,20.3,9.252452,1176.4393,2.4902408,0.13079803,66.517365,4.179641,0.17935905,0.20479189,0.20502274
5235.65,835.0,15.0,8.698893,1194.8331,2.5138805,0.12290046,63.20498,4.302719,0.13385902,0.16096444,0.16096444
5236.3,1.72,14.8,9.826758,1229.8315,2.5707073,0.098865055,60.609562,4.247126,0.09234066,0.11329242,0.11400736
5236.6,1.68,12.4,9.156992,1145.4752,2.5613873,0.10387069,61.170067,4.2908072,0.078834936,0.098498784,0.098498784
5236.9,27.4,13.1,10.549625,1044.4102,2.5919702,0.109336965,62.04307,4.386462,0.06652962,0.08946476,0.08946476
5237.3,1.73,13.2,9.9875765,944.83887,2.5196753,0.134181,63.666542,4.512795,0.066171646,0.09998352,0.09998352
5237.7,22.1,14.3,10.459246,368.9261,2.4851565,0.14088432,62.200325,4.623626,0.09878731,0.121543385,0.121543385
5238.05,76.8,11.2,21.368166,75.00056,2.6391642,0.08866291,59.56006,4.1882205,0.09777836,0.123453766,0.12427177
5238.8,149.0,13.0,46.655067,173.03679,2.5086124,0.10773583,63.137245,4.925002,0.044868823,0.06263209,0.06263209
5239.35,50.0,8.3,21.562775,210.94554,2.4822876,0.1426199,65.00282,5.069592,0.06995071,0.09665724,0.09802264
5239.7,125.0,13.7,13.788366,565.94226,2.429108,0.1450262,65.18924,4.6671486,0.09961109,0.12177768,0.12425449
5240.1,229.0,15.3,9.586933,897.48114,2.4473097,0.1519465,65.59843,4.047332,0.12493478,0.15000552,0.15111077
