DEPTH,GR,RHGX_HILT,NPHI,AT10,AT20,AT30,AT60,AT90,PEFZ
3241.2432,43.60318,2.831039,0.011301896,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3241.3955,43.60318,2.831039,0.011301896,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3241.548,31.196218,2.831039,0.011301896,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3241.7004,22.927324,2.831039,0.011413331,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3241.8528,25.73498,2.8329847,0.011976436,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.0051,32.28807,2.8333547,0.010748802,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.1577,39.12914,2.82975,0.009328169,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.31,42.439396,2.8267717,0.007713007,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.4624,42.55851,2.8233292,0.0079612555,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.6147,40.979954,2.8247,0.0082678525,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.7673,41.400784,2.8268278,0.010234147,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3242.9197,39.175926,2.8305202,0.010852685,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3243.072,35.31724,2.8290193,0.010363654,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3243.2244,31.586157,2.825119,0.006694475,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3243.3767,29.568153,2.8254905,0.00852364,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3243.5293,29.262472,2.8284795,0.008674791,51.794643,61.238102,52.368523,47.517567,38.26941,3.9123464
3243.6816,28.121862,2.823265,0.010598042,51.794643,61.238102,52.368523,47.517567,38.26941,3.926917
3243.834,28.648294,2.834214,0.011218921,58.272842,64.70512,55.66813,52.908436,38.9675,3.933949
3243.9863,28.86624,2.8329132,0.010805467,58.321278,64.849014,60.199238,74.51665,41.404434,3.9366438
3244.139,28.164328,2.8062181,0.011320159,60.72223,67.01252,68.56702,76.64567,52.80127,3.9376776
3244.2913,22.24569,2.7348418,0.014654996,67.359604,73.683655,71.7083,80.4291,58.41999,3.9160123
3244.4436,18.860376,2.7145429,0.015432617,82.09473,80.416046,69.97491,77.55132,64.55713,3.887084
3244.596,16.579157,2.7353556,0.01605873,83.3786,87.274185,88.90637,80.312546,90.80625,3.8725798
3244.7485,22.319693,2.8226438,0.013286917,83.62639,78.24636,97.74993,75.64624,103.10859,3.9157114
3244.901,28.600397,2.8713,0.011659877,67.18793,68.53405,69.414696,72.27309,83.90629,3.9724889
3245.0532,32.46092,2.9078176,0.016799876,42.56776,49.328903,46.236332,50.38059,62.7565,3.9572248
3245.2056,28.252066,2.8948798,0.015895322,47.91378,48.373455,45.389442,54.98528,63.070656,3.8084924
